id;da;setor;log;atual;rua;bairro;CEP;pgguia;ubs;ruagoogle;latitude;longitude;name;AREA_KM2;CODL;ruas;ruagooglecrua;color;source;precision;PrimeiroDeInicio;ÚltimoDeFim;Inicio;Fim;LADO
1;71;;ALAMEDA;NAO;AFONSO SCHMIDT (DE 543 A 1045)   ;SANTA TERESINHA;02450-001;;UBS CHORA MENINO;Alameda Afonso Schmidt, 1045 - Santa Teresinha, São Paulo - SP, 02450-001, Brasil;-23.4923562;-46.6337885;Alameda Afonso Schmidt , 1045 - Santa Teresinha , São Paulo - SP, 02450-001;4,28;2887;Al Afonso Schmidt;Alameda Afonso Schmidt , 1045 - Santa Teresinha , São Paulo - SP, 02450-001;;Google;address;543;1045;543;1045;
2;71;;ALAMEDA;NAO;AFONSO SCHMIDT (INICIO A 542)  ;SANTA TERESINHA;02450-000;;UBS CHORA MENINO;Alameda Afonso Schmidt, 542 - Santa Teresinha, São Paulo - SP, 02450-001, Brasil;-23.4958914;-46.6363707;Alameda Afonso Schmidt , 542 - Santa Teresinha , São Paulo - SP, 02450-000;4,28;2887;Al Afonso Schmidt;Alameda Afonso Schmidt , 542 - Santa Teresinha , São Paulo - SP, 02450-000;;Google;address;1;542;;542;
3;51;;ALAMEDA;NAO;JOAQUIM JOSE DE MATTOS (INICIO A 66)   ;LAUZANE PAULISTA;02430-005;;UBS LAUZANE PAULISTA;Alameda Joaquim José de Mattos, 66 - Lauzane Paulista, São Paulo - SP, 02430-005, Brasil;-23.4823846;-46.645852;Alameda Joaquim Jose De Mattos , 66 - Lauzane Paulista , São Paulo - SP, 02430-005;3,45;278912;Al Joaquim Jose de Mattos;Alameda Joaquim Jose De Mattos , 66 - Lauzane Paulista , São Paulo - SP, 02430-005;;Google;address;;;;66;
4;51;;AVENIDA;NAO;AVENIDA ADOLFO COELHO  (INICIO A 784)  ;LAUZANE PAULISTA;02443-000;;UBS LAUZANE PAULISTA;Av. Adolfo Coelho, 784 - Lauzane Paulista, São Paulo - SP, 02443-000, Brasil;-23.4704412;-46.6468854;Avenida Adolfo Coelho , 784 - Lauzane Paulista , São Paulo - SP, 02443-000;3,45;42900;Av Adolfo Coelho;Avenida Adolfo Coelho , 784 - Lauzane Paulista , São Paulo - SP, 02443-000;;Google;address;;;;784;
5;71;;AVENIDA;NAO;AGUA FRIA  (DE 867 A 953 LADO ÍMPAR);AGUA FRIA;02333-001;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 953 - Santana, São Paulo - SP, 02332-001, Brasil;-23.4803578;-46.6221014;Avenida Agua Fria , 953 - Agua Fria , São Paulo - SP, 02333-001;8,83;3514;Av Agua Fria;Avenida Agua Fria , 953 - Agua Fria , São Paulo - SP, 02333-001;;Google;address;867;953;867;953;LADO ÍMPAR
6;71;;AVENIDA;NAO;AGUA FRIA  (INICIO  A 398 LADO PAR);AGUA FRIA;02332-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 398 - Santana, São Paulo - SP, 02332-000, Brasil;-23.4853071;-46.6227117;Avenida Agua Fria , 398 - Agua Fria , São Paulo - SP, 02332-000;8,83;3514;Av Agua Fria;Avenida Agua Fria , 398 - Agua Fria , São Paulo - SP, 02332-000;;Google;address;2;398; ;398;LADO PAR
7;71;;AVENIDA;NAO;AGUA FRIA  (DE 389 A 697 LADO ÍMPAR);AGUA FRIA;02333-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 697 - Santana, São Paulo - SP, 02333-000, Brasil;-23.4825892;-46.6223488;Avenida Agua Fria , 697 - Agua Fria , São Paulo - SP, 02333-000;8,83;3514;Av Agua Fria;Avenida Agua Fria , 697 - Agua Fria , São Paulo - SP, 02333-000;;Google;address;389;697;389;697;LADO ÍMPAR
8;71;;AVENIDA;NAO;AGUA FRIA  (INICIO  A 397 LADO ÍMPAR);AGUA FRIA;02333-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 397 - Santana, São Paulo - SP, 02333-000, Brasil;-23.4852432;-46.6229056;Avenida Agua Fria , 397 - Agua Fria , São Paulo - SP, 02333-000;8,83;3514;Av Agua Fria;Avenida Agua Fria , 397 - Agua Fria , São Paulo - SP, 02333-000;;Google;address;2;397; ;397;LADO ÍMPAR
9;71;;AVENIDA;NAO;AGUA FRIA  (DE 388 A 696 LADO PAR);AGUA FRIA;02332-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 696 - Santana, São Paulo - SP, 02332-000, Brasil;-23.4825837;-46.6221315;Avenida Agua Fria , 696 - Agua Fria , São Paulo - SP, 02332-000;8,83;3514;Av Agua Fria;Avenida Agua Fria , 696 - Agua Fria , São Paulo - SP, 02332-000;;Google;address;388;696;388;696;LADO PAR
10;71;;AVENIDA;NAO;AGUA FRIA  (DE 868 A 954 LADO PAR);AGUA FRIA;02332-001;;UBS JOAQUIM ANTONIO EIRADO;Av. Água Fria, 954 - Santana, São Paulo - SP, 02332-001, Brasil;-23.4802894;-46.6218177;Avenida Agua Fria , 954 - Agua Fria , São Paulo - SP, 02332-001;8,83;3514;Av Agua Fria;Avenida Agua Fria , 954 - Agua Fria , São Paulo - SP, 02332-001;;Google;address;868;954;868;954;LADO PAR
